Normalization,N-gram,Model,Precision,Recall,F1-Score,ROC-AUC,Train Time (s)
No Normalization,Unigram,AdaBoost,0.7766497461928934,0.9107142857142857,0.8383561643835616,0.913107574636072,1.71
No Normalization,Unigram,XGBoost,0.9799599198396793,0.9702380952380952,0.9750747756729811,0.9949882802862077,2.37
No Normalization,Unigram,LightGBM,0.986,0.9781746031746031,0.9820717131474104,0.995040710584752,0.76
No Normalization,Unigram,CatBoost,0.9780876494023905,0.9742063492063492,0.9761431411530815,0.9939849082983798,6.57
No Normalization,Bigram,AdaBoost,0.7740303541315345,0.9107142857142857,0.8368277119416591,0.9124578501521506,2.9
No Normalization,Bigram,XGBoost,0.9818548387096774,0.9662698412698413,0.974,0.9947518299202238,4.25
No Normalization,Bigram,LightGBM,0.9899598393574297,0.9781746031746031,0.9840319361277445,0.9955650135701949,0.73
No Normalization,Bigram,CatBoost,0.9741035856573705,0.9702380952380952,0.9721669980119284,0.9947374372892509,9.04
No Normalization,Trigram,AdaBoost,0.7740303541315345,0.9107142857142857,0.8368277119416591,0.9124578501521506,0.1
No Normalization,Trigram,XGBoost,0.9779559118236473,0.9682539682539683,0.9730807577268196,0.9947919236779339,4.88
No Normalization,Trigram,LightGBM,0.9879518072289156,0.9761904761904762,0.9820359281437125,0.9955341722181101,0.61
No Normalization,Trigram,CatBoost,0.9761431411530815,0.9742063492063492,0.9751737835153923,0.9952915535817091,11.19
With Normalization,Unigram,AdaBoost,0.8784860557768924,0.875,0.8767395626242545,0.9175261123447652,0.08
With Normalization,Unigram,XGBoost,0.98,0.9722222222222222,0.9760956175298805,0.995312114483099,1.91
With Normalization,Unigram,LightGBM,0.9860279441117764,0.9801587301587301,0.9830845771144279,0.9953223949337938,0.47
With Normalization,Unigram,CatBoost,0.9818913480885312,0.9682539682539683,0.975024975024975,0.9946325766921622,5.75
With Normalization,Bigram,AdaBoost,0.8784860557768924,0.875,0.8767395626242545,0.9175261123447652,3.14
With Normalization,Bigram,XGBoost,0.9799196787148594,0.9682539682539683,0.9740518962075848,0.9951054774241304,2.75
With Normalization,Bigram,LightGBM,0.9879518072289156,0.9761904761904762,0.9820359281437125,0.9957634262686077,0.56
With Normalization,Bigram,CatBoost,0.9800399201596807,0.9742063492063492,0.9771144278606965,0.9948741672834936,10.05
With Normalization,Trigram,AdaBoost,0.8784860557768924,0.875,0.8767395626242545,0.9175261123447652,0.11
With Normalization,Trigram,XGBoost,0.9720558882235529,0.9662698412698413,0.9691542288557214,0.9948844477341887,3.11
With Normalization,Trigram,LightGBM,0.9879759519038076,0.9781746031746031,0.9830508474576272,0.9952936096718481,0.62
With Normalization,Trigram,CatBoost,0.9800399201596807,0.9742063492063492,0.9771144278606965,0.9950098692326672,12.61
